MRPS35,MRPS24
MRPS35,MRPL18
MRPS35,MRPS12
MRPS35,MRPS17
MRPS35,MRPL35
MRPS35,MRPL33
MRPS35,MRPL32
MRPS35,MRPL39
MRPS35,RPS11
MRPS35,MRPS15
MRPS35,MRPL16
MRPS35,MRPL48
MRPS35,MRPL45
MRPS35,MRPL1
MRPS35,MRPL50
MRPS35,MRPS22
MRPS35,MRPL17
MRPS35,MRPL46
MRPS35,MRPL47
MRPS35,MRPL21
MRPS35,MRPS21
MRPS35,MRPL4
MRPS35,MRPL55
MRPS35,MRPS7
MRPS35,PTCD3
MRPS35,MRPS27
MRPS35,MRPL12
MRPS35,MRPS11
MRPS35,MRPS6
MRPS35,MRPS18B
MRPS35,MRPL30
MRPS35,MRPL51
MRPS35,MRPL49
MRPS35,ERAL1
MRPS35,RPL23
MRPS35,MTIF2
MRPS35,MRPL24
MRPS35,MRPL28
MRPS35,MRPL10
MRPS35,MRPS33
MRPS35,CHCHD1
MRPS35,MRPS28
APPBP2,ZER1
APPBP2,ZYG11B
APPBP2,KLHDC3
APPBP2,RBX1
APPBP2,ELOB
APPBP2,FEM1A
APPBP2,GLMN
APPBP2,CUL2
APPBP2,FEM1C
APPBP2,PRAME
APPBP2,ASB4
APPBP2,KLHDC2
APPBP2,COMMD1
APPBP2,PRAMEF6
APPBP2,ELOC
APPBP2,KLHDC10
APPBP2,FEM1B
APPBP2,APP
APPBP2,PRAMEF15
CD22,CD200R1
CD22,PTPRC
CD22,SYK
CD22,CD19
CD22,CD79A
CD22,LYN
CD22,PTPN6
KCNQ1,KCNQ3
KCNQ1,KCNJ18
KCNQ1,KCNE3
KCNQ1,KCNQ4
KCNQ1,KCNN4
KCNQ1,KCNE2
KCNQ1,KCNJ12
KCNQ1,KCNE1B
KCNQ1,KCNQ5
KCNQ1,KCNJ4
KCNQ1,CALML5
KCNQ1,CALM2
KCNQ1,KCNJ2
KCNQ1,CALML3
KCNQ1,CALML6
KCNQ1,KCNJ13
KCNQ1,CALM3
KCNQ1,KCNJ14
KCNQ1,KCNK5
KCNQ1,AKAP9
KCNQ1,KCNE1
KCNQ1,KCNQ2
KCNQ1,CALML4
TRIB2,TRIM21
OTUD5,UBA52
OTUD5,RPS27A
OTUD5,UBB
OTUD5,UBC
GPKOW,SF3B5
GPKOW,SNRPD2
GPKOW,SNRPG
GPKOW,PRPF8
GPKOW,PLRG1
GPKOW,RBM48
GPKOW,SF3B1
GPKOW,SRRM2
GPKOW,CWC22
GPKOW,EFTUD2
GPKOW,DHX16
GPKOW,SNW1
GPKOW,SRRT
GPKOW,SF3B4
GPKOW,SF3B2
GPKOW,SNRPB
GPKOW,ARMC7
GPKOW,DHX38
GPKOW,MTREX
GPKOW,SNRPF
GPKOW,PPIL1
GPKOW,SF3B3
GPKOW,SRRM1
GPKOW,SNRPD1
GPKOW,CDC5L
GPKOW,PPIL2
GPKOW,PPIL3
GPKOW,RBM10
GPKOW,SNRNP200
GPKOW,BUD13
GPKOW,SNRNP40
GPKOW,SCNM1
GPKOW,EIF4A3
GPKOW,CRNKL1
GPKOW,SNRPE
GPKOW,DDX5
GPKOW,ALYREF
GPKOW,SF3B6
GPKOW,RNF113A
GPKOW,CRIPT
GPKOW,RBMX2
GPKOW,CCDC12
GPKOW,MFAP1
GPKOW,CWC15
GPKOW,PHF5A
GPKOW,SNRPD3
GPKOW,CWC27
GPKOW,SNIP1
GPKOW,CDC40
GPKOW,DDX39B
AQR,FRG1
AQR,EIF4A3
AQR,SNRPA1
AQR,BUD13
AQR,SF3A2
AQR,MFAP1
AQR,CWC15
AQR,SNRPB2
AQR,RBMX2
AQR,RNF113A
AQR,PRCC
AQR,SNIP1
AQR,ISY1
AQR,SNRPD3
AQR,CWC25
AQR,KIN
AQR,SF3B6
AQR,DHX16
AQR,CASC3
AQR,PRPF19
AQR,PRPF8
AQR,SF3B5
AQR,MAGOH
AQR,SNRPG
AQR,CWC22
AQR,PRKRIP1
AQR,CWF19L2
AQR,BCAS2
AQR,PPIL1
AQR,PPIG
AQR,YJU2
AQR,SNRPF
AQR,MAGOHB
AQR,PPIL2
AQR,BUD31
AQR,UBL5
AQR,CDC5L
AQR,SNRPD1
AQR,SF3B3
AQR,SRRM1
AQR,PSME3IP1
AQR,NKAP
AQR,FAM32A
AQR,SNRPB
AQR,SYF2
AQR,SNRNP40
AQR,ZMAT2
AQR,SLU7
AQR,SNRNP200
AQR,PRPF38A
AQR,PPWD1
AQR,ZNF830
AQR,CWC27
AQR,CDC40
AQR,PHF5A
AQR,RBM22
AQR,CRNKL1
AQR,DHX8
AQR,SNRPE
AQR,PPIE
AQR,DHX15
AQR,SF3A1
AQR,CTNNBL1
AQR,ISY1-RAB43
AQR,PLRG1
AQR,SNRPD2
AQR,RBM8A
AQR,EFTUD2
AQR,WDR70
AQR,SF3B1
AQR,SRRM2
AQR,XAB2
AQR,SF3A3
AQR,SDE2
AQR,CACTIN
AQR,SNW1
AQR,DHX38
AQR,SF3B2
AQR,SF3B4
LMCD1,GATA6
PSMC4,PSMD4
PSMC4,PSMB8
PSMC4,PSMD5
PSMC4,UBA52
PSMC4,PSMB2
PSMC4,PSMD13
PSMC4,PSMD10
PSMC4,PSMD7
PSMC4,PSMD1
PSMC4,PSMB4
PSMC4,PSMC6
PSMC4,UBB
PSMC4,PSMA1
PSMC4,PSMA5
PSMC4,PSMB6
PSMC4,PSMD14
PSMC4,PSMB3
PSMC4,PSMD9
PSMC4,PSMD2
PSMC4,PSMC2
PSMC4,PSMA2
PSMC4,PSMC3
PSMC4,PSMB1
PSMC4,RPS27A
PSMC4,PSMC5
PSMC4,PSMA3
PSMC4,PSMD3
PSMC4,UCHL5
PSMC4,PAAF1
PSMC4,PSMC1
